,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
248,Data Scientist - Advisor,$77K-$127K (Glassdoor est.),"Job Description

Join the Clean Energy Revolution

Become a Data Scientist Advisor at Southern California Edison (SCE) and build a better tomorrow. In this job, youll be responsible for developing the modeling of complex analytical problems, discovering insights, and identifying opportunities using statistical, algorithmic, mining, and visualization techniques. In addition to advanced analytical skills, the advisor will be responsible for developing business requirements and coordinating with groups in and outside of the Transmission and Distribution group. You will be responsible for developing, presenting, and communicating results. As a Data Scientist Advisor, your work will help power our planet, reduce carbon emissions and create cleaner air for everyone. Are you ready to take on the challenge to help us build the future?

A day in the life - Get ready to think big, work smart and shine bright!
Generate advanced analytical approaches using predictive modeling, optimization, and simulation.
Apply statistical and pattern recognition techniques to perform description, prediction, and optimization.
Generate business insights.
Ability to provide solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.
Utilize a combination of business understanding, strong analytical and problem-solving skills, and programming/modeling knowledge to quickly cycle hypotheses through the discovery phase of the project. Excellent written and verbal communication skills to present the findings in a clear, structured manner are required.
Qualifications

The Essentials
Bachelors in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, or information sciences such as business analytics or informatics.
Three or more years of experience in Predictive Modeling or Machine Learning or Statistical Modeling or Data Mining.
Proficient with R or Python.
The Preferred
MS or Ph.D. in a quantitative discipline such as Statistics, Mathematics, Physics, Economics, Engineering, Computer Science, or Information Sciences.
Certification in Data Science or Predictive Analytics.
Data integration knowledge and skills.
Experience with Machine Learning.
You should know
Visit our Candidate Resource page to get meaningful information related to benefits, perks, resources, testing information, and hiring process, and more!
Relocation does not apply to this position.
Testing

This position requires testing and applicants who are identified to continue through the selection process will be invited to test via email. We invite you to visit our Candidate Resource page for further information and to access information guides. For information guides, please reference test #8203. Candidates who have previously passed this assessment, in some cases, may not need to retest again for this position.

About SCE

The people at SCE don't just keep the lights on. Our mission is so much bigger. Were fueling the kind of innovation thats changing an entire industry, and quite possibly the planet. Join us and create a future with cleaner energy, while providing our customers with the safety and reliability they demand. At SCE, youll have a chance to grow personally and professionally, making a real impact in Southern California and around the world.

At SCE, we celebrate our differences. We are a proud Equal Opportunity Employer and will not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected status.

We are committed to ensuring that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodations at (833) 343-0727.

#L1-EA1",3.9,"Southern California Edison
3.9","Pomona, CA",10000+ Employees,1879,Subsidiary or Business Segment,Utilities,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
249,Staff Engineer - NLP/ML,$77K-$127K (Glassdoor est.),"Staff Machine Learning Engineer

Service Intelligence Platform is responsible for a wide variety of NLU, Search, Recommendation, and speech related products supporting our stakeholders in Data Science and Service Engineering teams. Our products are geared towards helping customers and agents be a part of world-class post order experience, and include goal-oriented Virtual Assistants, ASR, Q&A systems, and Recommendation in Search.

The projects that our teams work on are built from the ground up we look for entrepreneurial individuals who want to take ownership over their own agenda and thrive in a collaborative team environment.

What You'll Do:
Deploy and maintain production models using both internal and external solutions
Improve the pace of innovation and experimentation by introducing best practices and tools for Data Science workflow and DevOps
Help grow other engineers by mentoring and developing learning opportunities
Deal with rapidly evolving business priorities.
Collaborate with some of the best engineers and data scientists in the industry.
What You Will Need:
A strong statistical background in ML, NLP, deep learning models along with familiarity in probabilistic information retrieval and optimization methods
Professional experience of building and deploying ML/AI apps to production, in realtime and Batch mode at scale
Strong understanding in data structures, algorithms and software design concepts in Streaming, REST, gRPC
Expert knowledge in one of Java/Scala/C++
Minimum of 2 years experience with scripting language Python, & Docker
Hands-on distributed systems compute experience using Spark/Dataproc, Kafka consumers, Hive or equivalent
Good understanding of Tensorflow, Pytorch, Pandas, Scikit-learn and Airflow
Strong understanding in model inferencing lifecycle, Monitoring, feedback loop and data capture in real time at scale
Nice to Have:
Experience with one of GCP/AWS and Kubernetes or Swarm
Experience with Dataproc, MLflow, Horovod, Michelangelo
Experience with semi-supervised learning, BERT, XGBoost
multi-arm bandits setup experience
UniMRCP, RTP understanding at a high level
WebSocket understanding on a high level
Search Engine exposure
About Us:

Wayfair is one of the worlds largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, were reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If youre looking for rapid growth, constant learning, and dynamic challenges, then youll find that amazing career opportunities are knocking.

No matter who you are, Wayfair is a place you can call home. Were a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair and world for all. Every voice, every perspective matters. Thats why were proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information.

Apply Now",3.3,"Wayfair
3.3","Boston, MA",10000+ Employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD)
250,Machine Learning Engineer,$77K-$127K (Glassdoor est.),"Opportunity overview

Cohere Health is simplifying healthcare for patients, their doctors, and all those who are important in a patient's healthcare experience. Our focus is to enable an efficient, transparent patient journey where patient goals are central to decision-making.

We are a mission-driven and fast-growing company obsessed with eliminating the wasteful friction patients and doctors experience, particularly for diagnoses that require expensive procedures or medications. To that end, we build products and services that ensure the appropriate plan of care is understood and expeditiously approved, so that patients and doctors can focus on health, rather than payment or administrative hassles.

In this role, you'll join our growing team of world-class engineers, statisticians, and clinical experts to deploy machine learning algorithms that help automate burdensome administrative clinical practices. You will be tasked with finding the most promising opportunities for impact and then delivering on them.

What you will do:
Find the signal in incoherent clinical data
Build reliable and scalable production machine learning systems
Work on feature engineering, statistical analysis, developing novel ML techniques, understanding classifier performance, and ensuring fit-for-purpose.
Work cross-functionally across diverse stakeholders, including product managers, statisticians, EHR data specialists and physicians.
What you will have:
You have at 3 years experience in applied ML in the industry with a degree or higher (MS/PhD) in computer science, machine learning, mathematics or similar field
Clear understanding of model building, model maintenance and the measures that optimize models for product use
Understand experimental design and can independently perform collection, measurement, and interpretation of results
Expert in R, SQL,Python or other common analytical data tools
Expert in linear regression and classification approaches
Bonus points if:


Have experience with healthcare data such as claims and EMR data
Have hands on experience building NLP models using Spacy from clinical narratives
Experience with TensorFlow is also a plus.
We can't wait to learn more about you and meet you at Cohere Health!",5.0,"Cohere Health
5.0","Boston, MA",51 to 200 Employees,2019,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
251,2021 Summer Information Technology Intern,$77K-$127K (Glassdoor est.),"British American Tobacco
Information & Digital Technology Intern

Winston-Salem, NC

It’s time to put what you’ve learned in the classroom to work as an Information and Digital Technology Intern. At Reynolds American, Inc., you will have the opportunity to assist the function in delivering creative and innovative technology solutions to achieve maximum business benefit across every facet of RAI and its operating companies. This summer, you’ll gain exposure to real-world projects and established professionals who want to help you succeed. That includes access to our c-suite leadership. You will exercise initiative, creative problem-solving skills, teamwork, and leadership as you interact with other personnel throughout our winning organization. In addition, you will have fun while adding value and encountering outstanding career development support.

Previous Information and Digital Technology Interns have made their mark by delivering on various projects. Their projects included:
Defining metrics and developing operational dashboard to show eCommerce infrastructure health, usage, and performance
Providing agile project management discipline to the owned retail project, participating in the technical workstreams of the project, and providing a technology architecture blueprint that can be used as additional stores are brought online.
Determining data correlations across key data sets within the existing Enterprise Data Warehouse environment and planning for productionalization to allow the process to continually produce outputs for data science users to leverage.
Analyzed existing processes internal to IDT employees, as well as external facing processes to the RAI workforce, to ensure continued viability; updating where necessary and recommending how to ensure these processes remain current going forward
Responsibilities:
Deliver creative and innovative IT and digital solutions
Execute challenging assignments
Collaborate with teams across the Information and Digital Technology function and outside of Information and Digital Technology
Present your findings to our leadership team
Requirements:
Relocation to Winston-Salem, NC
Pursuing an undergraduate degree with complete coursework in Business Administration or Information Technology or Computer Science or Data Science or a related field
Benefits
A competitive salary
Coverage of summer housing costs
Company-provided laptop
Social engagements with the Summer Internship Class
401(k) with up to 6% company match
Free, confidential, personal financial counseling service
About Us:

Reynolds American Incorporated is transforming the tobacco industry for the better. With a team of driven, insightful people—and a family of iconic brands—we’re redefining how adults consume tobacco in the 21st century. A key part of that is our dedication to diversity, including aiming to increase minority representation in full-time roles by 20% by 2025. Join us and earn the chance to leave your mark on our team—all while advancing your own career with the help of a thriving industry leader

Reynolds American Inc. is an indirect, wholly owned subsidiary of British American Tobacco p.l.c., and the U.S. parent company of R. J. Reynolds Tobacco Company; Santa Fe Natural Tobacco Company, Inc.; American Snuff Company, LLC; Niconovum USA, Inc.; Niconovum AB; R. J. Reynolds Vapor Company; Lorillard Licensing Company, LLC; and Reynolds Brands, Inc.

Reynolds American Inc. and its affiliated companies is an Equal Opportunity / Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

Our organization offers a level of challenge, responsibility and creativity for motivated employees that stands apart from the crowd.

We are also committed to employing a diverse workforce and valuing different perspectives, experiences and talents to maximize the company's potential for successfully achieving its business objectives.

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Only applicants requiring reasonable accommodation for any part of the application and hiring process should contact us directly via email at TalentAcquisition@RJRT.com.

California Privacy Notice

Job Segment:
Information Technology, Intern, Part Time, Seasonal, Warehouse, Technology, Entry Level, Retail, Manufacturing",3.4,"Reynolds American
3.4",United States,5001 to 10000 Employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
252,Machine Learning Researcher,$77K-$127K (Glassdoor est.),"Title: Machine Learning Researcher

Company: Samsung Research America (SRA)

Lab: Data Science Innovation Lab

Location: Mountain View, CA

Position Summary:

Samsung Research America's Data Science Innovation Lab is currently seeking a talented, competent, and highly motivated individual to join us as a Machine Learning Researcher. Data Science Innovation Lab is an interdisciplinary and hands-on research group focusing on developing data processing pipelines and machine learning algorithms to support our SW Service Products including Samsung Ad Services, Samsung Pay, Connected TVs and new SW service products in the future.

The successful candidate will research on and develop Machine Learning algorithms to solve challenging problems involving big data and will work with other team members to build machine learning systems for proof-of-concept prototypes and/or commercial software services.

Responsibilities:
Define relevant machine learning problems and effective criteria for evaluating success based on provided data and application scenario.
Develop scalable solutions based on state-of-the-art machine learning and AI methodologies.
Apply expert software development skills to a wide range of ML coding projects.
Develop prototypes and conduct experiments to evaluate the performance of ML/AI architectures/algorithms in large-scale industrial applications.
Write well-structured and re-usable code.
Create proof-of-concept technology demonstrations.
Basic Qualifications:
MS in Computer Science, Electrical Engineering, Mathematics, Statistics, Physics, or similar quantitative fields.
Solid background in at least one area of machine learning and/or AI research.
Solid background in linear algebra, calculus, and probability theory and foundations of machine learning.
In-depth experience in building systems based on machine learning and/or AI methods.
Strong programming skills in Python and/or C/C++ and/or Java.
Experience in working with numpy, scipy, scikit-learn, pandas.
Good verbal and written communication skills with strong capability of critical and scientific thinking.
Preferred Qualifications:
PhD in Computer Science with a focus in machine learning, artificial intelligence, and/or optimization.
Experience in deep learning, transfer learning.
Experience in working with one or few of these tools: Pytorch, Tensorflow, Keras, Edward, FastML.
Good knowledge and hands-on experience in distributed technologies such as Hadoop, Hive, Spark Experience in Scala programming language.
Achievements in competitions such as Kaggle, ILSVRC, or WMT a strong plus.
Publication record in top conferences (ICML, ICLR, NIPS, KDD, IJCAI, AAAI etc )
Samsung is an EEO/Veterans/Disabled/LGBT employer. We welcome and encourage diversity as we strive to create an inclusive workplace.",3.7,"Samsung Research America
3.7","Mountain View, CA",1001 to 5000 Employees,1988,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD)
253,"Database Administration, Analyst",$77K-$127K (Glassdoor est.),"Database Administration, Analyst
Position Location


Washington, DC

Apply Now


Clearance Required:
Public Trust

Education Required:
BA/BS

US Citizenship:
Required

Why MIL?

MIL is a dynamic workforce of industry professionals who deliver world-class solutions in cyber, engineering, financial management, and information technology – and we are looking for candidates like you. Whether you’re fresh out of college or the military or well into your professional services career, MIL has great job opportunities that might be right for you.

Here at The MIL Corporation, we pride ourselves on the family-like environment instilled amongst our team. Our employees love working here, and it truly shows through our various recognitions & awards. Some of our most recent awards include:
2020, 2019, 2018, & 2017 Top Workplaces Award, The Washington Post (Washington, D.C.)
2020, 2017 Top Workplace Award, Greenville Business Magazine, Columbia Business Monthly, and Charleston Business Magazine (South Carolina)
2019 & 2018 Certified Great Workplace, Great Place to Work®
2018 Fortune, Great Place to Work: Best Place to Work for Diversity
2018, Above & Beyond Award, Employer Support of the Guard and Reserve (ESGR), Department of Defense
If your goal is to help the federal government deploy leading technologies, improve financial management, or defend the nation in cyberspace, The MIL Corporation welcomes you. Become a part of something greater, where you, the people, make the difference.

Summary

The MIL Corporation seeks a Database Administration, Analyst to support data management and conversion activities financial systems modernization projects for a Federal Government client.

Responsibilities
Designs, develops, builds, analyzes, evaluates and installs database management systems to include database modeling and design, relational database architecture, metadata and repository creation and configuration management.
Uses data mapping, data mining and data transformational analysis tools to design and develop databases.
Determines data storage and optimum storage requirements.
Prepares system requirements, source analysis and process analyses and design throughout the database implementation.
Evaluates, sizes and selects technology components, such as software, hardware, and networking capabilities, for database management systems and application databases.
Writes and tunes SQL queries for performance and scalability.
Implements comprehensive backup and database replication solutions.
Required Qualifications
Minimum of 2-4 years of related experience aligned to the responsibilities listed above
Desired Qualifications
Experience with DHS
Experience with core financial systems, enterprise resource planning systems, or related feeder systems (asset, procurement, payroll, position management)
Experience working with system/product owners, users, and other stakeholders
Education

BA/BS, preferably in data science, data management, or a IT-related field

Clearance

Public Trust",4.2,"The MIL Corporation
4.2","Washington, DC",501 to 1000 Employees,1980,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
254,Encounter Data Analyst,$77K-$127K (Glassdoor est.),"Encounter Data Analyst, Lake Success
General Information
Job Title:
Encounter Data Analyst
Location:
1981 MARCUS AVE SUITE 100
Lake Success, NY, 11042
United States
Employee Type:
Full-Time
Job Category:
Analytics
Industry:
Healthcare
Required Degree:
4 Year Degree
Contact information
Name:
Drew Baker
Phone:
347-505-3573
Email:
dbaker@integraplan.org
Description
General Purpose/Scope:

The Encounter Data Analyst evaluates encounter data and identifies errors created by operational, claims, and eligibility processes. This position will research, analyze, summarize, and categorize all types of encounters based on response files from NYSDOH and CMS, as appropriate. This position will also work closely with other internal departments, delegated vendors, and government agencies to monitor and communicate that the paid and denied claims adjudicated are accurately submitted and processed to the NYSDOH and CMS, as appropriate. These claims, called ‘encounter data,’ are submitted along with member and provider files from the plans, and are critical data inputs used to inform program total cost of care, quality, and utilization – which are ultimately used to inform risk sharing and other incentive-based payments from the NYSDOH to the ACOs and MCOs.

The Encounter Data Analyst will need to understand the overall data, process flows, and provider data specifications used within the NYSDOH, and work with the Data Warehouse and Analytics teams to create targeted and ongoing reports to track data accuracy and timeliness; and support ACO and MCO management teams in working collaboratively with partners to improve overall encounter, member, and provider data quality.

Responsibilities Include:
Retrieves, compiles, reviews, and ensures the accuracy of encounter data from Integra systems and delegated vendor sources, using an 837-file format.
Will need to be able to access data from the Integra Data Warehouse using a variety of tools such as MS Access and SAS Enterprise Guide.
Summarizes large volumes of encounter data in analytical reports that include tables, graphs, qualitative and quantitative analyses for management review and use.
Reviews and ensures the accuracy of reports and corrects discrepancies.
Works closely with IT to ensure data completeness, data accuracy, and data availability.
Assists in the development of reports and projects, including documenting methodology, protocols, analysis, and design.
Programs using SAS, SQL or other appropriate software to generate reports based on input/direction from management and other report users.
Collaborates with other departments and vendors to identify missing data, errors or other anomalies; works with them to correct these encounter data errors, gathers necessary information and provides guidance on regulatory reporting needs.
Monitors encounter data integrity of various databases and create monthly, quarterly and ad-hoc reports.
Initiates and maintains internal contacts to secure current/correct encounter data necessary for clear presentations of all reports, special projects, etc.
Assists in the development of analysis plans, which includes documenting analyses methodology, protocols, and design.
Researches, recommends and implements efficient means of data collection, maintenance, and analysis.
Reviews and identifies trends and variances in encounter data and reporting.
Researches findings and determines the appropriateness of elevating identified issues to leadership for further review/evaluation/action.
Performs special projects and other duties, as needed.
Qualifications:
Bachelor's Degree in Computer Science, Public Health, Healthcare Informatics, Health Administration, Statistics, or other relevant discipline required
Minimum 2 years of increasingly responsible data analysis/reporting experience in a healthcare setting
Minimum of 1 year performing encounter data analysis of APD, EDPS, and/or RAPs in a health care or health plan organization
Skills/Abilities:
Knowledge of encounter data processes, files, etc.
Computer proficiency in Outlook, Word, PowerPoint. Advanced proficiency in personal computer programs, including MS Excel (including formulas, sorts, filters, pivot tables, IF statements, VLOOKUP, HLOOKUP, etc), MS Access (criteria statements, table links, and database and report creation).
Experience working within a data warehouse environment
Strong detail orientation and organizational skills
Effective oral, written, and interpersonal communication skills required
Knowledge of MLTC and Medicare Advantage encounter data analytics preferred
Knowledge of SAS Enterprise Guide, SAS Base programming preferred
Integra is an Equal Opportunity Employer and prohibits discrimination or harassment based on any characteristics protected by the laws or regulations in the locations where we operate.

If this opportunity sounds exciting and challenging to you, please apply.",3.5,"Integra Managed Care
3.5","Lake Success, NY",501 to 1000 Employees,-1,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
255,Senior Data Scientist,$77K-$127K (Glassdoor est.),"The Mars Agency is a global marketing practice, specializing in marketing to shoppers, consumers and retailers across the ever-expanding omni-commerce environment. Mars uniquely refers to this environment as the A-to-V Commerce SM space, which incorporates everything from Autonomous to Voice commerce.

Mars, proud of its independence and growth-for-clients focus, operates internationally across the Americas, Europe and Asia through its network of 13 offices.

We are currently seeking a Senior Data Scientist to work out of our Bentonville or Detroit office.

The Senior Data Scientist serves as a key member of the team building out the agency’s shopper marketing mix modeling and advanced analytics offering, evolving statistical modeling and analytics with technology to develop a best-in-class platform for measurement, evaluation and marketing ROI.
What You’ll Do:
Assist in the development and implementation of the agency’s shopper marketing mix modeling platform.
Lead the continued development of the Analytics capability for the agency, helping to define the role of Analytics in all aspects of a program from planning to measurement.
Work to enhance the agency’s overall Business Intelligence offering and analytics strategy.
Define and develop compelling analytic opportunities that complement the agency’s business and result in incremental category growth opportunities for our clients.
Synthesize data from a variety of sources including IRI, Nielsen, media, customer specific POS, shopper loyalty databases, consumer research and category management tools to identify and prioritize business-building opportunities.
Consult on data strategy for the agency, in collaboration with data strategy lead. Identify potential data sources and key data points to be captured, outlining and thinking about potential future uses.
Interface with clients and internal team members to explain complex analytic concepts in an easy to understand way.
Promote advanced analytic and data science capabilities during new business pitches and within the agency’s existing clients.
Provide recommendations for cloud analytics technology and be part of the team implementing.
Work with Python and its libraries, SQL, Spark, and R, all via a Cloud-based platform.

What You Bring to Us:
Bachelor’s or master’s degree in a related field, such as statistics, mathematics, econometrics, data science, computer science, or marketing.
Minimum of 3-5 years of experience in consumer marketing or shopper marketing insights and analytics, particularly in the CPG and retail industries.
Dynamic personality able to effectively engage and influence a variety of audiences.
Proficient on querying and reducing data from large database repositories and/or flat files.
At lease 2 years of experience in/with: building efficient data processing pipelines for analytical systems using cloud based technology.
Knowledge of the digital marketing ecosystem and fluency with common web technologies, as well as knowledge of media platforms (Google DFP, Google DFA, Facebook) and 3rd Party Tools (Adobe Analytics, Google Analytics, Google AdWords) as well as experience with CRM Data Analysis.
Hands-on experience with experimental design, offer testing methodology,
descriptive statistics, hypothesis testing, econometric modeling, and regression analysis.
Passion about business and dissatisfaction with the status quo – always thinking of ways to improve/grow the function.
Proficiency in IRI and Nielsen systems, data management and analytics tools, and data visualization software (Tableau preferred).
Leadership and organizational skills.
Capable of handling multiple projects simultaneously.
High level of energy and enthusiasm.
Comfortable with high pressure, fluid and ambiguous situations.
Ability to travel on an as-needed basis.

The Mars Agency is an Equal Opportunity Employer and will recruit, hire, train and promote persons in all job classifications without regard to race, ancestry, creed, color, sexual orientation, gender identity, age, national origin, disability or handicap, HIV, veteran, marital or family status, or any other status or condition protected by applicable state and/or federal laws, except where a bonafide occupational qualification applies.

The Mars Agency has developed a wide variety of inclusive benefit plans and policies that address and promote the needs of all employees and their family members, including comprehensive group health plans, a parental leave program that includes paid maternity and paternity benefits for pregnancy, adoption and surrogacy, flexible paid time off, a broad and confidential employee assistance program, ongoing wellness support initiatives, trusted financial health advice and guidance, promotion of education through tuition support and assistance, and a flexible and supportive work environment and culture.",2.8,"The Mars Agency
2.8","Rogers, AR",201 to 500 Employees,1972,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
256,Director of Engineering,$77K-$127K (Glassdoor est.),"Virtuoso is the leading international travel agency network specializing in luxury and experiential travel. The by-invitation only organization comprises over 1,000 travel agency locations with 20,000 elite travel advisors in over 50 countries through North America, Latin America, the Caribbean, Europe, Asia-Pacific, Africa and the Middle East. Drawing upon its preferred relationships with over 1,800 of the world's best hotels and resorts, cruise lines, airlines, tour companies and premier destinations, the network provides its upscale clientele with exclusive amenities, rare experiences and privileged access.

Position Summary: Reporting to the VP, Technology, the Director of Engineering is a key part of the organization's Technology leadership team, delivering enterprise-level software solutions and products in both start-up and large environments. This position requires a creative and entrepreneurial approach to marry corporate strategy and initiatives with the most relevant, optimal, and appropriate technology processes, as well as exceptional staff and organization management.

Essential Duties and Responsibilities include the following. Other duties may be assigned.
Work directly with the VP, Technology, Director of IT Operations and Director of Program Management to deliver the product vision to our customers.
Build and mentor an efficient and high-performing engineering team.
Ensure delivery of products and solutions to our customers at a high pace and quality. This includes implementing and maintaining an agile engineering and DevOps environment and culture.
Be comfortable leading the team from a high-level as well as rolling up your sleeves and getting deep into the technical details.
Coach, mentor, and groom engineers, team leads, and managers.
Recruit, motivate, retain, and enhance top-tier Engineering and DevOps teams.
Leverage your experience and leadership to transform existing functions to drive consistency and efficiency through your strategies and management.
Balance a high quality, high-output engineering mindset with the demands of a high-growth business.
Drive and foster a positive, inclusive, collaborative, and results-oriented culture.
Develop and execute on engineering strategy, architecture, and product plans while leading engineering teams for both internal and customer-facing systems to support the business.
Interact with internal and external customers to collect requirements, manage expectations, and resolve issues.
Educational and Skill Requirements:
10+ years of experience as an engineering leader, preferably with a combination of big and small company environments, having managed organizations of 20 people or more.
Proven track record leading multiple teams delivering and operating modern SaaS and back-office solutions for enterprise customers leveraging cloud services (AWS, Azure, and leading cloud management platforms).
Enthusiasm for and expertise in implementing and managing an Agile software development environment with a strong DevOps culture including experience in one or more of the following: built large-scale, automated distributed systems, configuration management, and CI/CD pipeline.
Experience and passion for building wicked-awesome end-user experiences (front-end development, UI/UX passion, digital platform, etc.) and data management platforms (data warehousing, event sourcing, data science, analytics, etc.).
Experience with business process automation/enterprise tools.
Experience with high scalability, availability, and security domains.
Champion for, and can execute on, operational efficiency and simplicity.
Demonstrated depth in software engineering principles and implementation with the ability to contribute to low-level software designs, architecture decisions, code reviews, and solution design.
Strong experience in a .NET engineering environment. Experience with open source tools and language a plus.
Experience with database technology, both SQL and NoSQL.
Passion and experience in mentoring and recruiting/team building.
Highly collaborative with the ability to work well with peer leadership and distributed stakeholders.
Excellent written and oral communication skills.
Proven ability to generate decisions through data.
Ability to prioritize and execute on multiple projects with an attention to detail.
Experience delivering high-quality software design and development including experience with RESTful web services and microservices.
We offer a competitive salary and full benefits package, including medical/dental/vision/life, a company matched 401(k) savings plan, and more. Virtuoso is an equal opportunity employer, dedicated to promoting a diverse workforce.",3.0,"Virtuoso
3.0","Seattle, WA",201 to 500 Employees,1952,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
257,Senior Manager Data Management,$77K-$127K (Glassdoor est.),"DTN is a global leader providing insights and analytics to our customers to feed, fuel, and protect the world. We help people make critical business decisions that impact the agriculture, oil and gas, trading, and weather industries.

It’s a difference you’ve likely felt without even knowing it. From the food on your plate to the gas in your car to the last flight you took, chances are a DTN customer made it possible. And that’s just for starters. That’s why we say, “When our customers prosper, we all win.”

Job Description:

DTN is a global leader providing insights and analytics to our customers who feed, protect, and fuel the world. We are growing and need a Senior Development Manager. This position will play a key role in supporting and expanding our advanced solutions ensuring global scale and rock-solid 24x7 reliability. If you have a passion for leading and organizing high performance analytical solutions and have a technical background with aspirations/continued growth in leadership, this is the opportunity for you!

Responsibilities:
Maintain development roadmap aligned with global strategies including but not limited to data center evacuations/cloud migrations; global scale storage, distribution, and availability; and empowering data science and analytics solutions
Lead a global multi-national team aligning goals, business objectives, and corporate strategies
Ensure alignment with over-arching enterprise platform initiatives
Engage with product teams and development teams on scope definition and deliverable timelines
Manage resources and priorities to effectively meet timeline commitments
Own and manage infrastructure and maintenance projects to ensure continued 24x7 operations
Continuously improve delivery through process improvement and refinement
Requirements:
Minimum 7 years relevant work experience
Minimum of 3 years of experience in full lifecycle software development within an organization focused on high availability and/or SaaS offerings
Minimum 2 years of experience in a leadership role
Professional Experience in/with
Cloud architectures and usages
Remote leadership
Agile development methodology
Highly available and scalable data systems
High performance architectures
CI/CD development and iterative design
Desirables:
Geospatial data – generation, querying, storage, analysis
Experience with Linux/Unix environment, including build tools, debug tools, data analysis tools, and application profiling tools
Automated build and deployment of data stores
Experience with various languages (i.e. Python, PowerShell, C++, etc.)
Qualifications
Deep team leadership experience
Strong analytical and problem-solving skills
Strong team player with experience mentoring engineers
Ability to communicate ideas, alternatives, and solutions
Proven ability to motivate teams and operate effectively in a fast-paced, high-energy environment
Strong communication skills, self-direction, and solid problem solving skills with a focus on delivery
Travel expectation – Less than 25% (domestic and international)
Why DTN?

OUR VISION: To be the independent, trusted source of insights to our customers who feed, protect, and fuel the world.

OUR MISSION: Empower our customers with intelligent and actionable insights that exceed their expectations and enable their success on a daily basis.

OUR VALUES: Customer Delight, Education, Teamwork, Colleague Focus, Innovation, Integrity

We have great benefits at DTN – apply today to find out more!

At DTN, we are an equal opportunity employer. Come join us as we help feed, fuel, and protect the world!

** DTN is an Equal Opportunity Employer Minorities/Women/Veterans/Disabled",2.7,"DTN
2.7","Burnsville, MN",501 to 1000 Employees,1984,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
258,Data Scientist,$77K-$127K (Glassdoor est.),"Apply

Description

**TS/SCI w/ Polygraph required before consideration.**

Description:

Develop and train machine learning systems based on statistical analysis of data characteristics to support mission automation. Guide and contribute to the execution of a Data Science methodology according to the requirements of each project. This includes: goal definition, data pre-processing, statistical modeling, evaluation, results communication, and deployment.

Required: experience with Splunk Analytics, background in machine learning and statistical analysis; experience with building, tuning, and testing predictive models; experience developing evaluating and maturing both supervised and unsupervised algorithms; experience creating analytic charts and dashboards

Desired: ElasticSearch, RegEx, Natural Language Processing, experience with regression and predictive analysis, Python, Matlab or R, SQL or Mongo, Metric Database experience (Grafana, Graphite, InfluxDB)

COMSO, Inc. is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",4.1,"COMSO
4.1","Linthicum Heights, MD",51 to 200 Employees,1988,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
